years,Austria_trend_Circular_material_use_rate_Percent,EU_trend_Circular_material_use_rate_Percent,Austria_EU_target_Circular_material_use_rate_Percent,Belgium_trend_Circular_material_use_rate_Percent,Belgium_EU_target_Circular_material_use_rate_Percent,Bulgaria_trend_Circular_material_use_rate_Percent,Bulgaria_EU_target_Circular_material_use_rate_Percent,Cyprus_trend_Circular_material_use_rate_Percent,Cyprus_EU_target_Circular_material_use_rate_Percent,Czechia_trend_Circular_material_use_rate_Percent,Czechia_EU_target_Circular_material_use_rate_Percent,Germany_trend_Circular_material_use_rate_Percent,Germany_EU_target_Circular_material_use_rate_Percent,Denmark_trend_Circular_material_use_rate_Percent,Denmark_EU_target_Circular_material_use_rate_Percent,Estonia_trend_Circular_material_use_rate_Percent,Estonia_EU_target_Circular_material_use_rate_Percent,Greece_trend_Circular_material_use_rate_Percent,Greece_EU_target_Circular_material_use_rate_Percent,Spain_trend_Circular_material_use_rate_Percent,Spain_EU_target_Circular_material_use_rate_Percent,Finland_trend_Circular_material_use_rate_Percent,Finland_EU_target_Circular_material_use_rate_Percent,France_trend_Circular_material_use_rate_Percent,France_EU_target_Circular_material_use_rate_Percent,Croatia_trend_Circular_material_use_rate_Percent,Croatia_EU_target_Circular_material_use_rate_Percent,Hungary_trend_Circular_material_use_rate_Percent,Hungary_EU_target_Circular_material_use_rate_Percent,Ireland_trend_Circular_material_use_rate_Percent,Ireland_EU_target_Circular_material_use_rate_Percent,Italy_trend_Circular_material_use_rate_Percent,Italy_EU_target_Circular_material_use_rate_Percent,Lithuania_trend_Circular_material_use_rate_Percent,Lithuania_EU_target_Circular_material_use_rate_Percent,Luxembourg_trend_Circular_material_use_rate_Percent,Luxembourg_EU_target_Circular_material_use_rate_Percent,Latvia_trend_Circular_material_use_rate_Percent,Latvia_EU_target_Circular_material_use_rate_Percent,Malta_trend_Circular_material_use_rate_Percent,Malta_EU_target_Circular_material_use_rate_Percent,Netherlands_trend_Circular_material_use_rate_Percent,Netherlands_EU_target_Circular_material_use_rate_Percent,Poland_trend_Circular_material_use_rate_Percent,Poland_EU_target_Circular_material_use_rate_Percent,Portugal_trend_Circular_material_use_rate_Percent,Portugal_EU_target_Circular_material_use_rate_Percent,Romania_trend_Circular_material_use_rate_Percent,Romania_EU_target_Circular_material_use_rate_Percent,Serbia_trend_Circular_material_use_rate_Percent,Serbia_EU_target_Circular_material_use_rate_Percent,Sweden_trend_Circular_material_use_rate_Percent,Sweden_EU_target_Circular_material_use_rate_Percent,Slovenia_trend_Circular_material_use_rate_Percent,Slovenia_EU_target_Circular_material_use_rate_Percent,Slovakia_trend_Circular_material_use_rate_Percent,Slovakia_EU_target_Circular_material_use_rate_Percent,Switzerland_trend_Circular_material_use_rate_Percent,Switzerland_EU_target_Circular_material_use_rate_Percent
2010,6.8,10.7,,13.5,,2.1,,2.0,,5.3,,11.2,,8.0,,9.0,,2.5,,10.4,,10.7,,17.5,,1.6,,5.2,,1.9,,11.6,,3.9,,23.4,,1.2,,5.3,,25.5,,11.1,,1.8,,3.5,,0.9,,7.2,,5.9,,5.0,,11.0450730797,
2011,6.9,10.2,,14.4,,1.8,,1.9,,5.4,,10.6,,7.0,,14.5,,2.0,,9.9,,11.4,,16.9,,2.4,,5.4,,2.2,,11.6,,3.6,,19.8,,2.9,,4.5,,25.0,,9.4,,1.7,,2.5,,1.1,,7.6,,7.6,,4.7,,11.2219200028,
2012,7.9,11.0,,17.3,,1.8,,2.0,,6.3,,11.0,,6.4,,19.2,,1.8,,9.8,,12.2,,16.8,,3.5,,6.0,,1.9,,13.9,,3.8,,17.7,,1.3,,3.9,,26.3,,11.0,,2.0,,2.6,,1.3,,8.2,,9.4,,4.0,,11.6141421112,
2013,9.1,11.2,,17.3,,2.5,,2.4,,6.7,,11.1,,7.7,,14.7,,1.7,,8.9,,7.9,,17.2,,3.9,,6.1,,1.9,,16.0,,3.1,,15.2,,3.9,,6.3,,26.8,,12.2,,2.5,,2.5,,1.1,,7.2,,9.3,,4.5,,11.5029781101,
2014,9.9,11.1,,17.9,,2.7,,2.2,,6.8,,11.2,,9.0,,11.3,,1.3,,7.7,,5.5,,17.8,,4.8,,5.3,,2.2,,16.1,,3.7,,11.1,,5.3,,6.4,,26.5,,13.0,,2.4,,2.1,,1.2,,6.4,,8.5,,4.8,,11.4316520851,
2015,11.2,11.2,,18.0,,3.1,,2.4,,6.9,,11.6,,8.3,,11.4,,1.8,,7.6,,4.9,,18.8,,4.6,,5.7,,2.1,,17.2,,4.1,,9.6,,5.3,,4.6,,26.7,,11.9,,2.1,,1.7,,1.1,,6.7,,8.7,,5.0,,12.2556186224,
2016,11.9,11.4,,18.0,,4.3,,2.4,,7.5,,11.8,,8.0,,11.9,,2.1,,8.2,,3.8,,19.3,,4.6,,6.3,,2.0,,17.8,,4.6,,7.1,,6.6,,4.2,,29.0,,10.6,,2.1,,1.7,,1.2,,6.9,,8.7,,5.2,,12.2509124615,
2017,12.0,11.5,,19.0,,3.4,,2.4,,9.1,,11.6,,7.9,,12.5,,2.5,,8.8,,4.4,,18.7,,5.1,,6.7,,1.9,,18.4,,4.4,,10.6,,5.5,,6.5,,26.7,,10.4,,2.0,,1.8,,1.5,,6.7,,9.8,,4.9,,12.9270514311,
2018,11.8,11.6,,20.6,,2.4,,2.8,,10.5,,12.0,,8.1,,13.8,,3.0,,8.9,,4.4,,19.5,,5.0,,6.9,,1.9,,18.8,,4.3,,10.8,,4.7,,8.3,,25.8,,10.5,,2.2,,1.6,,1.4,,6.6,,10.1,,4.7,,13.4216132347,
2019,11.5,11.2,,20.5,,4.0,,3.2,,10.6,,12.4,,7.6,,15.3,,3.3,,9.0,,4.5,,17.1,,5.4,,5.5,,1.8,,18.8,,3.9,,9.1,,4.8,,12.8,,25.6,,9.2,,2.3,,1.4,,1.5,,6.4,,10.2,,8.3,,13.5932469612,
2020,11.4,11.2,,22.9,,5.8,,3.8,,11.5,,12.8,,7.6,,16.4,,4.2,,9.3,,4.4,,16.2,,5.5,,5.1,,1.8,,20.6,,4.0,,9.4,,5.2,,16.5,,27.1,,7.4,,2.5,,1.5,,1.4,,6.9,,9.9,,10.3,,13.8095506954,
2021,11.3,11.1,,21.4,,4.3,,5.9,,11.0,,12.2,,8.6,,20.0,,5.3,,8.8,,5.1,,15.9,,6.1,,5.0,,2.1,,19.7,,4.1,,8.5,,5.0,,19.2,,28.5,,7.0,,2.7,,1.5,,1.7,,9.5,,8.9,,10.4,,13.8391610849,
2022,12.4,11.5,,18.3,,3.0,,8.5,,11.3,,12.5,,9.3,,21.4,,6.3,,9.4,,5.4,,17.5,,6.8,,4.9,,2.1,,20.6,,4.0,,12.3,,4.5,,21.5,,27.2,,6.7,,3.3,,1.5,,,,12.1,,8.3,,11.5,,13.4524014936,
2023,14.3,11.8,,19.7,,4.9,,5.4,,12.8,,13.9,,9.1,,18.1,,5.2,,8.5,,2.4,,17.6,,6.2,,5.9,,2.3,,20.8,,3.9,,10.2,,5.0,,19.8,,30.6,,7.5,,2.8,,1.3,,,,9.9,,8.8,,10.6,,,
2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2030,,,22.4,,22.4,,22.4,,22.4,,22.4,,22.4,,22.4,,22.4,,22.4,,22.4,,22.4,,22.4,,22.4,,22.4,,22.4,,22.4,,22.4,,22.4,,22.4,,22.4,,22.4,,22.4,,22.4,,22.4,,22.4,,22.4,,22.4,,22.4,,22.4
