years,Austria_trend_Consumption_footprint_Points_per_capita,EU_trend_Consumption_footprint_Points_per_capita,Belgium_trend_Consumption_footprint_Points_per_capita,Bulgaria_trend_Consumption_footprint_Points_per_capita,Cyprus_trend_Consumption_footprint_Points_per_capita,Czechia_trend_Consumption_footprint_Points_per_capita,Germany_trend_Consumption_footprint_Points_per_capita,Denmark_trend_Consumption_footprint_Points_per_capita,Estonia_trend_Consumption_footprint_Points_per_capita,Greece_trend_Consumption_footprint_Points_per_capita,Spain_trend_Consumption_footprint_Points_per_capita,Finland_trend_Consumption_footprint_Points_per_capita,France_trend_Consumption_footprint_Points_per_capita,Croatia_trend_Consumption_footprint_Points_per_capita,Hungary_trend_Consumption_footprint_Points_per_capita,Ireland_trend_Consumption_footprint_Points_per_capita,Italy_trend_Consumption_footprint_Points_per_capita,Lithuania_trend_Consumption_footprint_Points_per_capita,Luxembourg_trend_Consumption_footprint_Points_per_capita,Latvia_trend_Consumption_footprint_Points_per_capita,Malta_trend_Consumption_footprint_Points_per_capita,Netherlands_trend_Consumption_footprint_Points_per_capita,Poland_trend_Consumption_footprint_Points_per_capita,Portugal_trend_Consumption_footprint_Points_per_capita,Romania_trend_Consumption_footprint_Points_per_capita,Sweden_trend_Consumption_footprint_Points_per_capita,Slovenia_trend_Consumption_footprint_Points_per_capita,Slovakia_trend_Consumption_footprint_Points_per_capita,Switzerland_trend_Consumption_footprint_Points_per_capita
2010,2.0775739619,2.0979106887,2.0493977936,1.3453091125,3.0658292668,2.0707386106,2.0528215294,1.9563881232,1.9696271887,2.9122159111,1.8593778464,3.0132421104,1.6982331111,1.5755006794,1.2333954289,1.5675527961,2.0656320467,1.6834637511,2.6150452025,1.5715117071,2.7359435505,1.8853671715,1.838859208,1.6237931023,1.1342589797,2.0975866451,2.2370016202,1.6646529274,3.4806723906
2011,2.2831152583,2.1249485665,1.9306003323,1.3878272139,2.6215949941,2.1791300641,2.3582997212,1.9764222807,2.0756970711,2.6641850313,1.8617701058,3.0150964997,1.8894592908,1.419198111,1.2189585371,1.4078520708,2.0469787517,1.8933923386,2.8861197985,1.6239449577,2.3339983485,1.6195213432,1.8802415034,1.5898270661,1.2417020113,2.2196146308,2.3564923526,1.6336472303,3.8612571299
2012,2.1844762681,1.9866931207,1.8331343675,1.4287133055,2.2869297212,2.0089220075,2.1569031647,1.7594902321,1.9482340317,2.7452958646,1.7167657044,2.9454925646,1.7886625932,1.3793317034,1.1151471979,1.5966691755,1.8138513929,1.7705453424,2.3270962198,1.6641903154,2.1235199078,1.7924101326,1.8098445538,1.5054698649,1.1366536107,1.9640373029,2.0809918163,1.4543402122,3.8377281778
2013,2.1118407865,1.9387885937,1.7479834246,1.2800471203,1.8724109303,1.934288309,2.1606121063,1.8772149131,2.0342280069,2.4235998457,1.5629321688,2.7509791799,1.7711006639,1.3628308504,1.1544125223,1.5836584071,1.668639574,1.5355975906,2.0770009815,1.6618347687,2.1015005859,1.6460434526,1.7132400191,1.2995492335,1.000419258,1.8530906249,1.9609844786,1.4099391388,3.4446373979
2014,1.9726386055,1.8543145148,1.7273227371,1.2901802865,2.0758926748,1.737334946,2.0261023759,1.8255864641,1.9493923607,2.1228154232,1.5385599855,2.5066490942,1.6637879135,1.2748255801,1.0834708448,1.6177284346,1.5221163621,1.3925052397,2.2296401178,1.6285024504,2.2692592705,1.5006396516,1.6619854877,1.2907222681,0.9885309877,1.7784071786,1.710718701,1.2086910331,3.1211118319
2015,1.7069520111,1.8176385544,1.5272262974,1.2704079281,1.9786680449,1.7037240921,1.7807519691,1.6539426124,1.8402260908,1.802410412,1.3926689711,2.2001759643,1.5058963358,1.2349324361,0.9177736829,1.6681871627,1.3837426136,1.364138131,2.3198926846,1.4638399644,1.9491788664,1.4539204699,1.5235555343,1.200609946,0.9790258163,1.6420609433,1.5571729061,1.2329633579,2.9380329066
2016,1.6261036825,1.8070960609,1.4907686901,1.2253126969,2.06085975,1.5605701853,1.6166087003,1.6608405365,1.7192097766,1.7368743334,1.4127566939,3.3544626023,1.3803222472,1.2196186061,0.7931546627,1.8793858811,1.3173634152,1.2073093095,2.1605190564,1.3793792917,1.7786487207,1.3619838701,1.4763722919,1.1404830947,0.9785390861,1.659131276,1.5008440888,1.1444136838,3.2254030071
2017,1.7484177072,1.8743124128,1.5905352686,1.3158308171,2.4428499954,1.7534061927,1.8634543077,1.7575535983,1.6650596058,1.6898027783,1.6170976351,2.5093856044,1.5241125557,1.3297786976,0.9929699528,2.0705945912,1.4456768116,1.3601718168,1.9823410797,1.5624549104,1.5557587135,1.410523999,1.6432378079,1.2854655135,1.0803837523,1.6150983051,1.6777496292,1.2458554701,3.1114746922
2018,1.8920357032,1.9635239562,1.7195634769,1.4626471982,2.4938858548,1.7703666371,1.9682182988,1.8136730962,1.9658353831,1.9214771293,1.8008455948,2.6142327893,1.5755081378,1.4453322716,1.0607669751,2.1097796213,1.5352324841,1.5752120797,2.0852726777,1.6846365774,1.6480398118,1.553449986,1.8005968904,1.3686621366,1.1821142983,1.6791857904,1.7552299581,1.3536919154,2.9117559798
2019,1.9361837164,1.962576722,1.6960741604,1.6454343434,2.4336837576,1.798553697,1.9744863635,1.8076062263,1.9165640098,1.8576988341,1.7426106707,2.7524161789,1.6052344399,1.4963138883,1.1542978257,4.2673012838,1.495529632,1.5047990601,2.054446541,1.7409098459,1.7243484764,1.6591879897,1.7887346547,1.3756244819,1.2458554954,1.5754677214,1.8563659383,1.4546496832,3.2400794605
2020,1.7761245432,1.9151024796,1.5502224727,1.7092570409,2.2779956739,1.6849699828,1.8820524391,1.8516589159,1.7094482717,1.8331233077,1.5277884394,2.6518848114,1.3922806754,1.4285830151,1.0011141689,2.8941778153,1.3489495054,1.2687957445,2.2664163871,1.5339564758,1.5609173851,1.5835076824,1.6885148748,1.2114819963,1.2300389118,1.5233184443,1.6631009451,1.3816746632,3.7267614446
2021,1.8978233711,2.0995127738,1.7017648614,1.9119153822,2.2225978999,1.9133410384,2.0197086286,1.9197039995,1.5888809668,1.9390298115,1.7274331449,2.4831140976,1.4394355043,1.5396439758,1.158509291,2.0933715281,1.5290742643,1.5571118139,2.3672866345,1.7132764867,1.4702341718,1.5741358638,1.903610946,1.3198831196,1.3365851711,1.4661045926,1.7222737715,1.4532682869,3.1743351163
2022,1.9583256676,,1.9504332451,2.3589847033,2.5210736619,2.1858922568,2.3026599422,2.0259160304,2.1765434909,2.3818209364,1.9800491976,2.6266646875,1.6536232074,1.8583066053,1.5376084732,2.900696638,1.8032561647,2.1176152216,2.4707283958,1.8270970518,1.7808022099,1.6918188701,1.9698450624,1.6496682737,1.5462588808,1.5750216662,1.9885870134,1.5959923084,3.2691947764
2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
