years,Albania_trend_Share_of_households_affected_by_energy_poverty_Percent,EU_trend_Share_of_households_affected_by_energy_poverty_Percent,Austria_trend_Share_of_households_affected_by_energy_poverty_Percent,Belgium_trend_Share_of_households_affected_by_energy_poverty_Percent,Bulgaria_trend_Share_of_households_affected_by_energy_poverty_Percent,Cyprus_trend_Share_of_households_affected_by_energy_poverty_Percent,Czechia_trend_Share_of_households_affected_by_energy_poverty_Percent,Germany_trend_Share_of_households_affected_by_energy_poverty_Percent,Denmark_trend_Share_of_households_affected_by_energy_poverty_Percent,Estonia_trend_Share_of_households_affected_by_energy_poverty_Percent,Greece_trend_Share_of_households_affected_by_energy_poverty_Percent,Spain_trend_Share_of_households_affected_by_energy_poverty_Percent,Finland_trend_Share_of_households_affected_by_energy_poverty_Percent,France_trend_Share_of_households_affected_by_energy_poverty_Percent,Croatia_trend_Share_of_households_affected_by_energy_poverty_Percent,Hungary_trend_Share_of_households_affected_by_energy_poverty_Percent,Ireland_trend_Share_of_households_affected_by_energy_poverty_Percent,Iceland_trend_Share_of_households_affected_by_energy_poverty_Percent,Italy_trend_Share_of_households_affected_by_energy_poverty_Percent,Lithuania_trend_Share_of_households_affected_by_energy_poverty_Percent,Luxembourg_trend_Share_of_households_affected_by_energy_poverty_Percent,Latvia_trend_Share_of_households_affected_by_energy_poverty_Percent,Montenegro_trend_Share_of_households_affected_by_energy_poverty_Percent,North Macedonia_trend_Share_of_households_affected_by_energy_poverty_Percent,Malta_trend_Share_of_households_affected_by_energy_poverty_Percent,Netherlands_trend_Share_of_households_affected_by_energy_poverty_Percent,Norway_trend_Share_of_households_affected_by_energy_poverty_Percent,Poland_trend_Share_of_households_affected_by_energy_poverty_Percent,Portugal_trend_Share_of_households_affected_by_energy_poverty_Percent,Romania_trend_Share_of_households_affected_by_energy_poverty_Percent,Serbia_trend_Share_of_households_affected_by_energy_poverty_Percent,Sweden_trend_Share_of_households_affected_by_energy_poverty_Percent,Slovenia_trend_Share_of_households_affected_by_energy_poverty_Percent,Slovakia_trend_Share_of_households_affected_by_energy_poverty_Percent,Turkiye_trend_Share_of_households_affected_by_energy_poverty_Percent,Kosovo_trend_Share_of_households_affected_by_energy_poverty_Percent,Switzerland_trend_Share_of_households_affected_by_energy_poverty_Percent
2014,,10.4,3.2,5.4,40.5,27.5,6.1,4.9,2.9,1.7,32.9,11.1,1.5,5.9,9.7,11.6,8.9,1.8,18.0,26.5,0.6,16.8,8.6,26.1,22.3,2.6,0.6,9.0,28.3,12.9,17.1,1.1,5.6,6.1,15.5,,0.7
2015,,9.6,2.6,5.2,39.2,28.3,5.0,4.1,3.6,2.0,29.2,10.6,1.7,5.5,9.9,9.6,9.0,1.4,17.0,31.1,0.9,14.5,8.6,23.4,14.1,2.9,0.5,7.5,23.8,13.1,15.2,1.2,5.6,5.8,15.9,,0.6
2016,,9.0,2.7,4.8,39.2,24.3,3.8,3.7,2.7,2.7,29.1,10.1,1.7,5.0,9.3,9.2,5.9,1.6,16.1,29.3,1.7,10.6,6.3,25.7,6.6,2.6,0.9,7.1,22.5,13.8,13.3,2.6,4.8,5.1,24.2,,0.6
2017,38.7,8.1,2.4,5.8,36.5,22.9,3.1,3.3,2.7,2.9,25.7,8.0,2.0,4.9,7.4,6.8,4.4,1.2,15.2,28.9,1.9,9.7,4.5,24.0,6.3,2.4,0.8,6.0,20.4,11.3,13.1,2.1,3.9,4.3,20.7,,0.4
2018,33.3,7.6,1.6,5.2,33.7,21.9,2.7,2.7,3.0,2.3,22.7,9.1,1.7,5.0,7.7,6.1,4.4,1.0,14.1,27.9,2.1,7.5,11.2,24.9,7.6,2.2,0.9,5.1,19.4,9.6,10.0,2.3,3.3,4.8,19.1,40.2,0.6
2019,36.8,6.9,1.8,3.9,30.1,21.0,2.8,2.5,2.8,2.5,17.9,7.5,1.8,6.2,6.6,5.4,5.1,1.3,11.1,26.7,2.4,8.0,10.3,33.1,7.8,3.0,1.0,4.2,18.9,9.3,9.9,1.9,2.3,7.8,19.2,,0.3
2020,35.8,7.5,1.5,4.1,27.5,20.9,2.2,7.0,3.0,2.7,17.1,10.9,1.8,6.7,5.7,4.2,3.6,1.0,8.3,23.1,3.6,6.0,13.2,23.8,7.2,2.4,0.8,3.2,17.5,10.0,9.5,2.7,2.8,5.7,20.3,,0.2
2021,37.7,6.9,1.7,3.5,23.7,19.4,2.2,3.3,2.8,2.0,17.5,14.2,1.3,6.0,5.7,5.4,3.4,,8.1,22.5,2.5,4.9,18.0,,7.8,2.4,1.4,3.2,16.4,10.1,9.4,1.7,1.7,5.8,20.5,,0.4
2022,,9.3,2.7,5.1,22.5,19.2,2.9,6.7,5.1,3.4,18.7,17.1,1.4,10.7,7.0,4.7,6.8,,8.8,17.5,2.1,7.1,13.9,,7.6,5.3,2.1,4.9,17.5,15.2,9.5,3.3,2.6,7.1,20.4,,0.4
2023,,10.6,3.9,6.0,20.7,16.9,6.1,8.2,6.9,4.1,19.2,20.8,2.6,12.1,6.2,7.2,7.2,,9.5,20.0,2.1,6.6,,,6.8,7.1,2.1,4.7,20.8,12.5,,5.9,3.6,8.1,19.5,,0.5
2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
